username,listName,movieTitle,releaseDate,dateCreated
cisacqgg,et eros vestibulum ac,Lulu on the Bridge,2007-11-11,2024-03-31
dharkencw,pharetra magna vestibulum aliquet ultrices,Escuela de seducción,2008-07-14,2025-06-20
apickerelljs,aliquet ultrices,AmericanEast,2001-10-14,2024-04-25
wnegalfe,consectetuer adipiscing,Viagem a Portugal,2019-10-25,2023-12-20
ptwellni,luctus nec molestie,"ChubbChubbs!, The",1985-04-11,2024-12-27
tsaterthwaitik,eget elit sodales scelerisque,"Brothers, The",2006-05-15,2023-09-18
mshepheardi6,quis tortor id nulla ultrices,Up!,1984-07-25,2023-06-24
rbarwack1e,auctor sed,Jack Frost,1988-07-19,2022-03-20
kcadalleder5,ultrices posuere cubilia,Tatsumi,1982-08-24,2024-05-16
jpicktonb4,enim in tempor turpis nec,"Last Time I Saw Archie, The",2006-11-10,2023-07-04
bbantockch,consectetuer,Kolya (Kolja),1996-02-21,2023-10-28
esilkston5i,facilisi cras non velit,Other People's Money,1989-07-06,2022-07-27
faldin2e,primis in faucibus orci luctus,"Lonely Man, The",2019-10-29,2024-07-17
cnolleaub2,duis at velit,Strip-tease,1983-09-07,2024-01-29
krosenau9m,proin interdum mauris,Shoot on Sight,2001-12-22,2023-08-11
wvittelg0,a ipsum integer a,Smokey and the Bandit,1992-07-27,2022-12-18
swerlockhc,aliquet maecenas leo,Bob Roberts,2014-04-17,2024-04-26
cplayleic,ac tellus semper,This Is the Night,2014-01-31,2023-12-29
tbyattap,platea dictumst,Windows,1999-07-26,2023-02-24
lrawnsley8i,fusce posuere felis sed lacus,College Road Trip,2017-06-11,2024-04-11
lpescotthv,pretium iaculis diam erat fermentum,Iron Will,2015-10-22,2023-10-20
hlembrickiq,nulla,Erin Brockovich,1992-06-27,2022-03-09
gasplandr7,convallis,Solitary Man,2010-03-19,2023-01-09
adalliganme,dolor sit amet consectetuer adipiscing,Repo! The Genetic Opera,2004-07-09,2022-11-14
gspadaro73,duis,More Than a Game,2018-05-22,2023-02-15
swerlockhc,aliquet maecenas leo,Naked Blood: Megyaku (Nekeddo burâddo: Megyaku),1990-11-30,2024-04-26
ccaughte7l,nunc,Santa Fe Trail,2008-03-13,2023-11-26
chopewell84,massa,Blood Runs Cold,1987-11-17,2023-10-26
jdelap96,dolor sit amet consectetuer adipiscing,Paradise Alley,2015-01-16,2022-11-14
bzannelioh,amet,The Real Glory,2003-03-17,2025-04-06
eparminterg6,donec ut dolor morbi vel,Strange Circus (Kimyô na sâkasu),2019-02-23,2023-02-03
amckea5x,faucibus accumsan odio curabitur,Spirits of the Dead,1990-07-19,2023-06-02
sbilboroughjr,sapien cursus vestibulum,Crush,2010-02-06,2025-01-22
dpalfreemanbx,nunc viverra,"Way of the Dragon, The (a.k.a. Return of the Dragon) (Meng long guo jiang)",1996-02-27,2023-07-30
ogriffe2b,sem praesent id,Full Moon in Paris (Les nuits de la pleine lune),2007-11-05,2023-04-09
dwatts1v,non interdum in,"Same Time, Next Year",1991-12-18,2024-03-03
rplutherobd,consectetuer adipiscing,"47 Ronin, The (Genroku Chûshingura)",1982-04-20,2023-12-20
lpullff,amet lobortis sapien sapien,Bellissima,1992-02-02,2023-11-10
amckea5x,faucibus accumsan odio curabitur,Boca,2003-04-05,2023-06-02
ymcauslene9z,justo nec condimentum,Sanatorium,1992-01-22,2024-02-22
fboamea1,proin interdum mauris,Miracle in Cell No. 7,2005-11-04,2023-08-11
lkimbroughj3,pretium,"Last Remake of Beau Geste, The",1997-08-27,2022-04-22
mbroadey7w,tincidunt eget,I Accuse,2015-05-05,2022-09-13
dlehr8a,ultricies,Wake of the Red Witch,1984-10-29,2023-06-02
rsmouten3a,proin interdum mauris,Green Chair (Noksaek uija),2005-02-28,2023-08-11
akettjs,vel accumsan,American Raspberry (Prime Time) (Funny America),2008-12-31,2025-08-14
mmanifouldg1,suspendisse ornare consequat,Deadtime Stories,1985-07-31,2024-05-07
craimbauldp0,lacus at velit vivamus,Dead or Alive: Hanzaisha,2013-07-24,2023-10-19
fmanifoldrk,tempus semper est quam pharetra,Chasing Liberty,2014-08-02,2023-03-05
cmaggillandreis9o,primis in faucibus orci,Halloween III: Season of the Witch,1992-12-11,2023-09-27
socarrolel,eu est,Wanderlust,2008-08-20,2025-02-26
rmittone8,nisl nunc rhoncus,Bonjour Monsieur Shlomi (Ha-Kochavim Shel Shlomi),2014-10-18,2024-03-16
aaylettnn,at turpis,Little Ashes,1987-12-03,2022-02-05
rsheddgq,dui,Kumaré,1980-05-16,2025-02-06
askipseyp6,nulla,Revenge of the Nerds IV: Nerds in Love,1995-07-22,2022-03-09
lpullff,amet lobortis sapien sapien,Rasputin and the Empress,1981-06-29,2023-11-10
rkneaphseyk7,nulla eget eros elementum,It Started with Eve,1997-08-26,2024-07-15
afludgatehm,rutrum neque aenean auctor,Taxi Driver,1998-05-29,2022-07-02
wmattamrl,morbi porttitor lorem id ligula,Lonely Street,1997-10-29,2022-11-02
hsimoneschi5x,elementum nullam varius,Imagine,1986-04-05,2024-01-18
astrivensmf,velit vivamus,Sazen Tange and the Pot Worth a Million Ryo,1986-09-04,2024-02-18
cportsmouth3h,in hac habitasse platea,Funky Forest: The First Contact,1986-03-02,2025-05-02
mbeacockr3,diam id ornare imperdiet,"World According to Dick Cheney, The ",1984-03-21,2025-05-07
ethomtson5u,nullam molestie nibh in,Garage Sale Mystery,2015-03-27,2023-06-06
mtayntonbb,donec diam,"Witches, The (Le streghe)",1998-09-28,2025-04-06
lsturdeyer,id nulla ultrices aliquet maecenas,Zigeunerweisen (Tsigoineruwaizen),1981-04-16,2024-03-30
tdevericksqp,mauris,Johnny Express,2005-10-02,2025-01-06
ethomtson5u,nullam molestie nibh in,Woo,1995-12-11,2023-06-06
mbricket18,curabitur at ipsum,Final Destination 5,2014-10-26,2024-03-29
cportsmouth3h,in hac habitasse platea,War Made Easy: How Presidents & Pundits Keep Spinning Us to Death,1984-08-16,2025-05-02
lhyattr6,primis,The Substitute 2: School's Out,1998-06-08,2022-05-21
sbilboroughjr,sapien cursus vestibulum,Who the #$&% is Jackson Pollock?,1990-06-16,2025-01-22
gfrearsonji,ac leo,Fatherland,2009-08-30,2025-02-25
mrobkeni5,in,"Batman/Superman Movie, The",1985-11-26,2023-05-17
ituckermanqg,mauris morbi non lectus,"Pervert's Guide to Ideology, The",1984-10-08,2023-01-08
mscroobyf5,vel augue vestibulum,Rising Sun,1983-06-05,2023-02-22
lreddyhoffi3,integer,"Simple Life of Noah Dearborn, The",2008-08-28,2024-05-04
khillbornefp,at,The Last Time I Saw Macao,1993-09-30,2022-07-02
gwardinglyes,semper porta volutpat quam pede,Hansel & Gretel: Witch Hunters,2019-05-03,2023-06-26
gsomerlie1e,sed justo pellentesque viverra pede,Cat People,2019-04-11,2025-04-16
tbyattap,platea dictumst,Malèna,1983-03-19,2023-02-24
eaudrittn7,donec ut dolor morbi vel,40 Guns to Apache Pass,1995-05-23,2023-02-03
apayleyd8,mattis nibh ligula nec sem,Operation Mad Ball,2006-05-23,2025-02-16
jhanigan54,sociis natoque penatibus et,Lay the Favorite,1988-10-19,2023-02-26
tbanthorpemf,tincidunt lacus,Nightmare Alley,1991-09-14,2024-02-29
bduckwithce,amet cursus,"Assassin Next Door, The (Kirot)",1980-12-16,2023-06-25
bstayti7,libero quis orci nullam,Crackerjack,2000-06-25,2023-02-15
eaudrittn7,donec ut dolor morbi vel,Highway to Hell,2011-01-27,2023-02-03
mschermickfg,elementum nullam varius,House of Sand and Fog,1984-12-12,2024-01-18
mtayntonbb,donec diam,"Ruins, The",1989-08-19,2025-04-06
posbournn1,ut volutpat,Charlie's Country,2009-05-01,2024-01-06
fgalland1h,porta,"Woman's Face, A (En kvinnas ansikte) ",1982-10-19,2025-10-14
jvassarqa,tellus nisi,Rebirth of Mothra II,1988-11-21,2023-02-23
nshearerp5,donec ut dolor morbi vel,"Extraordinary Adventures of Adèle Blanc-Sec, The",2008-05-14,2023-02-03
mmurfin5z,in felis eu,Beethoven's Treasure Tail,1984-01-08,2024-09-13
scompsonhe,facilisi cras non velit,Condition Red (Beyond the Law),1996-02-23,2022-07-27
ttiversid,magna,Gett: The Trial of Viviane Amsalem,1981-01-16,2022-11-08
tdevericksqp,mauris,"Return of Doctor X, The",2001-04-13,2025-01-06
gvaughten6x,et eros vestibulum ac,Bang Bang,1983-03-23,2024-03-31
rmacafee3t,sapien varius ut blandit,"Rugrats Movie, The",2016-07-25,2022-03-22
kganniclifftgo,luctus ultricies eu nibh quisque,S.P.L.: Kill Zone (Saat po long),1994-03-26,2023-02-11
ktessington90,in felis eu,Dirty Filthy Love,1994-04-05,2024-09-13
mrobkeni5,in,Venus Boyz,2016-04-29,2023-05-17
dbaxns,posuere nonummy integer non,Molly Maxwell,2018-06-26,2023-05-20
astrivensmf,velit vivamus,Last Days in the Desert,2007-07-06,2024-02-18
btarboxdu,dictumst etiam faucibus cursus urna,Stakeout,2010-01-07,2024-07-26
cfarlhampu,consectetuer adipiscing,Central Park,1980-09-16,2023-12-20
odenny5s,non quam nec dui,"Cell 2, The",1984-12-14,2023-05-01
lrandsl4,amet cursus,Going Overboard,1981-09-13,2023-06-25
cskoggins7e,justo in blandit,Children of Invention,1996-08-18,2022-10-19
rheusticeh5,massa id lobortis convallis tortor,The Bride Wore Red,2012-02-29,2024-05-14
kburnei9,nulla,Night of the Day of the Dawn of the Son of the Bride of the Return of the Terror,2001-03-14,2022-03-09
fbeattie5q,in,"Swimsuit Issue, The (Allt flyter)",1994-03-18,2023-02-09
ccoxallnv,non pretium,Joe Kidd,2017-04-06,2024-12-03
sglentworth3t,nulla,Die Fischerin,2002-12-28,2022-03-09
kganniclifftgo,luctus ultricies eu nibh quisque,Life in a Day,1987-07-08,2023-02-11
fsteel89,amet,Win/win,1985-12-20,2024-01-13
mbonin7v,dictumst aliquam augue quam,Wild Love,2004-07-06,2023-08-06
bseagood4s,lacus curabitur at ipsum,Red Eye,1987-03-15,2025-01-05
lcanbyj5,proin,Strike Up the Band,2016-10-16,2022-12-11
ymcauslene9z,justo nec condimentum,"Order, The",1995-07-20,2024-02-22
dstonep,pede justo,"Old Man and the Sea, The",2004-11-03,2022-09-26
rheusticeh5,massa id lobortis convallis tortor,"Sea Wolf, The",1999-09-24,2024-05-14
amoldends,duis at velit,At the River I Stand,1986-04-11,2024-01-29
ibeazerex,nisl nunc,This Man Must Die (Que la bête meure),2009-09-09,2025-04-12
ckunertr8,faucibus cursus urna ut,Skylark,2009-10-25,2024-01-26
wmccandiel7,pretium iaculis diam erat fermentum,Escape from L.A.,1981-12-03,2023-10-20
bfishwickau,praesent blandit nam nulla integer,Manito,1980-02-24,2024-08-13
gjanowiczgn,tincidunt lacus,Quai des Orfèvres (Jenny Lamour),2014-10-10,2024-02-29
fpaddockih,luctus rutrum nulla,My Date with Drew,1990-05-21,2025-06-02
awestwickhv,metus,"Blind Side, The",1981-05-03,2023-06-05
switton7s,nullam molestie nibh in,Eden Log,2013-03-16,2023-06-06
stiversqb,posuere cubilia curae,Joysticks,1987-04-22,2025-08-05
ccolesmq,libero quis orci nullam,"Family Game, The (Kazoku gêmu)",1988-08-19,2023-02-15
spedrozzih5,nisl nunc rhoncus,"Canterbury Tale, A",1990-05-24,2024-03-16
rsolesrg,massa volutpat convallis morbi,"Sumo Do, Sumo Don't (Shiko funjatta)",1980-10-25,2022-09-16
coloughlin6p,morbi vestibulum velit id,There's a Girl in My Soup,1981-04-11,2024-05-13
mbeacockr3,diam id ornare imperdiet,Kozara,2011-08-08,2025-05-07
emcmenaminh6,mattis nibh ligula nec sem,Night Will Fall,1992-10-02,2025-02-16
rsmouten3a,proin interdum mauris,House of Games,2011-04-14,2023-08-11
kseneschala,vehicula condimentum curabitur,"Hungarian Fairy Tale, A (Hol volt, hol nem volt)",1982-12-15,2024-09-09
tlaughlin2c,magna,Licence to Kill,2001-09-14,2022-11-08
rbridgestock9i,donec ut dolor morbi,Winter of Frozen Dreams,2011-05-03,2022-03-26
dkohenp8,id,Je préfère qu'on reste amis,2019-08-15,2022-07-28
llavistege,proin eu mi,"Shanghai Gesture, The",1996-03-07,2023-05-01
bduckwithce,amet cursus,Reflections in a Golden Eye,1987-08-12,2023-06-25
myoude87,sem duis aliquam convallis nunc,Aloha Summer,2002-05-10,2023-06-11
lsturdeyer,id nulla ultrices aliquet maecenas,Remember Me,2005-02-10,2024-03-30
fbeattie5q,in,Zatoichi's Flashing Sword (Zatôichi abare tako) (Zatôichi 7),1996-01-14,2023-02-09
ifinlanjc,massa volutpat convallis morbi,Cause for Alarm!,1981-05-14,2022-09-16
mlergan9a,pellentesque,Winning Streak,2017-09-20,2024-06-19
rhelianaq,eu est,Trauma,1996-02-25,2025-02-26
mruppertzrj,amet nulla quisque arcu,Monsieur Verdoux,2013-06-12,2023-07-01
mbricket18,curabitur at ipsum,Starship Troopers 3: Marauder,2005-08-26,2024-03-29
pocorrenfw,odio,Wheel of Time,2015-09-28,2025-06-14
lhyattr6,primis,Flightplan,2010-05-20,2022-05-21
gsouthwayc4,convallis,Flame and Women (Honô to onna) ,2000-09-03,2023-01-09
sglentworth3t,nulla,"Relic, The",1985-11-03,2022-03-09
bboddymead9s,a libero nam dui,Battle of Britain,1982-08-23,2023-11-15
tneward63,rhoncus dui vel sem sed,"Yank in the R.A.F., A",2015-02-01,2025-06-13
qdunstonebv,pretium,Pan Tadeusz: The Last Foray in Lithuania (Pan Tadeusz),2000-04-27,2022-04-22
smuirdenq2,odio porttitor,Santa with Muscles,1992-11-17,2023-07-03
vstachiniqz,aliquet ultrices,Hansel & Gretel: Witch Hunters,2019-05-03,2024-04-25
chopewell84,massa,Cool as Ice,2002-08-21,2023-10-26
wfateley6t,vehicula condimentum curabitur in libero,"Breed, The",1981-08-19,2023-11-26
alombgx,faucibus accumsan odio curabitur,"Spitfire Grill, The",2004-06-02,2023-06-02
cportsmouth3h,in hac habitasse platea,"Return of Doctor X, The",2001-04-13,2025-05-02
